,MSE
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'SAR', 'SML', 'SMD')",1.540268491554768e-31
"LinearRegression(n_jobs=-1) - ('age', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'PHY', 'SAR', 'SML')",2.132707864256202e-31
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'A', 'B', 'O', 'SAR', 'SML', 'SMD')",2.886566497370745e-31
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'SAR', 'SML', 'SMD')",2.8998764788457837e-31
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'A', 'B', 'SAR', 'SML', 'SMD')",3.0176734260185214e-31
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SML')",3.0830309119242406e-31
"LinearRegression(n_jobs=-1) - ('cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SMD')",3.1269105173681197e-31
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'testosterone', 'weight', 'LOG_Y', 'A', 'B', 'O', 'PHY', 'SAR', 'SMD')",3.188997683950303e-31
"LinearRegression(n_jobs=-1) - ('age', 'cholesterol', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'SAR', 'SML', 'SMD')",3.577363714185143e-31
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'B', 'O', 'SAR', 'SML', 'SMD')",3.652007793541454e-31
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'testosterone', 'weight', 'LOG_Y', 'A', 'B', 'O', 'PHY', 'SML', 'SMD')",3.726968598095651e-31
"LinearRegression(n_jobs=-1) - ('blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'O', 'PHY', 'SAR', 'SMD')",3.7438046864649644e-31
"LinearRegression(n_jobs=-1) - ('age', 'cholesterol', 'hemoglobin', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'O', 'PHY', 'SAR', 'SML', 'SMD')",3.8003186932705774e-31
"LinearRegression(n_jobs=-1) - ('blood pressure', 'cholesterol', 'hemoglobin', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'SAR', 'SML', 'SMD')",3.8163287382496806e-31
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'testosterone', 'weight', 'LOG_Y', 'A', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",3.899526654898056e-31
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'temperature', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SML')",3.9115772587453974e-31
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'PHY', 'SAR', 'SMD')",3.948904940796437e-31
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'B', 'O', 'PHY', 'SML', 'SMD')",4.076310472832344e-31
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'hemoglobin', 'testosterone', 'weight', 'LOG_Y', 'RH', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",4.1153745010988706e-31
"LinearRegression(n_jobs=-1) - ('blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'LOG_Y', 'A', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",4.143432892976162e-31
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'O', 'PHY', 'SML', 'SMD')",4.165362163268718e-31
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'temperature', 'testosterone', 'LOG_Y', 'A', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",4.25210649935375e-31
"LinearRegression(n_jobs=-1) - ('blood pressure', 'cholesterol', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SML')",4.287081688070376e-31
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'weight', 'LOG_Y', 'RH', 'A', 'O', 'PHY', 'SAR', 'SML', 'SMD')",4.28991792084004e-31
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'SML', 'SMD')",4.348427823013801e-31
"LinearRegression(n_jobs=-1) - ('age', 'cholesterol', 'hemoglobin', 'temperature', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SML', 'SMD')",4.352080319060676e-31
"LinearRegression(n_jobs=-1) - ('age', 'cholesterol', 'hemoglobin', 'temperature', 'weight', 'LOG_Y', 'A', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",4.352198432733047e-31
"LinearRegression(n_jobs=-1) - ('age', 'cholesterol', 'hemoglobin', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",4.381704281334167e-31
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'hemoglobin', 'temperature', 'weight', 'LOG_Y', 'RH', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",4.385967658285277e-31
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'PHY', 'SML', 'SMD')",4.472114655160995e-31
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'O', 'PHY', 'SAR', 'SML', 'SMD')",4.475927394597775e-31
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'PHY', 'SML', 'SMD')",4.4997276757386475e-31
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SML')",4.518118802074776e-31
"LinearRegression(n_jobs=-1) - ('blood pressure', 'cholesterol', 'hemoglobin', 'testosterone', 'weight', 'LOG_Y', 'A', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",4.529037922079791e-31
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'hemoglobin', 'temperature', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SMD')",4.665137974571668e-31
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'B', 'O', 'SAR', 'SML', 'SMD')",4.718126626799391e-31
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'testosterone', 'weight', 'LOG_Y', 'RH', 'B', 'O', 'PHY', 'SAR', 'SML')",4.720615289399404e-31
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SML', 'SMD')",4.750577794045931e-31
"LinearRegression(n_jobs=-1) - ('blood pressure', 'cholesterol', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'O', 'PHY', 'SAR', 'SML', 'SMD')",4.769169036540345e-31
